Time,Displacement,Force,Tensile strain (Strain 1),Tensile stress
(s),(mm),(kN),(%),(MPa)
58.2,1.938,2.2292,0.0647,104.767
58.22,1.9387,2.23,0.066,104.8048
58.24,1.9394,2.2306,0.0661,104.8343
58.26,1.9401,2.2313,0.0656,104.8654
58.28,1.9408,2.2319,0.0651,104.8947
58.3,1.9414,2.2325,0.0646,104.9256
58.32,1.9421,2.233,0.0642,104.9491
58.34,1.9427,2.2336,0.064,104.9737
58.36,1.9434,2.2343,0.0637,105.0065
58.38,1.9441,2.2349,0.0634,105.0349
58.4,1.9448,2.2355,0.063,105.0655
58.42,1.9454,2.2361,0.0628,105.0924
58.44,1.9461,2.2367,0.0625,105.12
58.46,1.9468,2.2374,0.0622,105.1526
58.48,1.9475,2.2382,0.0641,105.1911
58.5,1.9482,2.2389,0.0661,105.223
58.52,1.9489,2.2395,0.0664,105.2513
58.54,1.9495,2.2401,0.0662,105.2786
58.56,1.9502,2.2407,0.0655,105.3105
58.58,1.9509,2.2414,0.0652,105.3403
58.6,1.9515,2.242,0.065,105.3685
58.62,1.9521,2.2425,0.0645,105.3939
58.64,1.9528,2.2432,0.0642,105.4242
58.66,1.9535,2.2438,0.0639,105.4563
58.68,1.9542,2.2445,0.0635,105.487
58.7,1.9549,2.2451,0.0635,105.515
58.72,1.9555,2.2456,0.0632,105.5411
58.74,1.9562,2.2463,0.0629,105.5705
58.76,1.9569,2.2468,0.0626,105.5969
58.78,1.9575,2.2475,0.0649,105.6273
58.8,1.9581,2.248,0.0664,105.6542
58.82,1.9587,2.2485,0.0666,105.6766
58.84,1.9594,2.249,0.0662,105.7014
58.86,1.96,2.2496,0.0659,105.7282
58.88,1.9607,2.2503,0.0654,105.7586
58.9,1.9613,2.2508,0.065,105.7855
58.92,1.962,2.2515,0.0648,105.8159
58.94,1.9627,2.2522,0.0644,105.8489
58.96,1.9634,2.2528,0.0642,105.8782
58.98,1.9641,2.2535,0.0639,105.9097
59,1.9648,2.2541,0.0635,105.9394
59.02,1.9654,2.2547,0.0634,105.9684
59.04,1.9661,2.2554,0.063,105.9982
59.06,1.9667,2.2559,0.0633,106.0225
59.08,1.9674,2.2565,0.0655,106.0532
59.1,1.968,2.257,0.067,106.0766
59.12,1.9687,2.2577,0.0669,106.106
59.14,1.9694,2.2584,0.0665,106.1427
59.16,1.9701,2.2591,0.0662,106.1734
59.18,1.9708,2.2598,0.0657,106.206
59.2,1.9715,2.2605,0.0654,106.2408
59.22,1.9722,2.2611,0.0651,106.2701
59.24,1.9728,2.2617,0.0648,106.2946
59.26,1.9735,2.2623,0.0644,106.3247
59.28,1.9742,2.2629,0.0643,106.3522
59.3,1.9748,2.2635,0.064,106.3818
59.32,1.9754,2.264,0.0638,106.4018
59.34,1.9761,2.2645,0.0635,106.4281
59.36,1.9767,2.2651,0.064,106.4574
59.38,1.9774,2.2658,0.0662,106.4867
59.4,1.978,2.2664,0.0673,106.5173
59.42,1.9787,2.267,0.0673,106.5455
59.44,1.9794,2.2677,0.0668,106.5763
59.46,1.9801,2.2683,0.0664,106.6076
59.48,1.9808,2.269,0.0661,106.641
59.5,1.9815,2.2696,0.0657,106.6682
59.52,1.9821,2.2703,0.0653,106.6994
59.54,1.9828,2.2708,0.0653,106.7258
59.56,1.9834,2.2714,0.0649,106.7534
59.58,1.9841,2.2721,0.0644,106.7866
59.6,1.9848,2.2728,0.0641,106.8195
59.62,1.9854,2.2734,0.0639,106.847
59.64,1.9861,2.2739,0.0638,106.8711
59.66,1.9868,2.2746,0.0648,106.9021
59.68,1.9875,2.2753,0.067,106.9344
59.7,1.9882,2.2759,0.0678,106.9655
59.72,1.9889,2.2766,0.0677,106.9949
59.74,1.9895,2.2773,0.0672,107.0278
59.76,1.9902,2.2778,0.067,107.0532
59.78,1.9908,2.2784,0.0666,107.0824
59.8,1.9915,2.279,0.0663,107.1112
59.82,1.9921,2.2796,0.0659,107.137
59.84,1.9927,2.2802,0.0655,107.166
59.86,1.9934,2.2809,0.065,107.1972
59.88,1.9941,2.2815,0.0649,107.2254
59.9,1.9948,2.2821,0.0645,107.2545
59.92,1.9954,2.2827,0.0643,107.2833
59.94,1.9961,2.2833,0.0644,107.3093
59.96,1.9968,2.2839,0.0669,107.3407
59.98,1.9974,2.2846,0.0681,107.3726
60,1.9981,2.2851,0.0683,107.3976
60.02,1.9987,2.2857,0.0679,107.426
60.04,1.9994,2.2863,0.0673,107.4503
60.06,2,2.2869,0.0668,107.4813
60.08,2.0007,2.2876,0.0665,107.5112
60.1,2.0014,2.2883,0.0662,107.5468
60.12,2.002,2.2889,0.066,107.5754
60.14,2.0027,2.2895,0.0657,107.6039
60.16,2.0034,2.2902,0.0655,107.6366
60.18,2.0042,2.291,0.0652,107.6731
60.2,2.0049,2.2917,0.0649,107.7046
60.22,2.0055,2.2923,0.0647,107.732
60.24,2.0062,2.2929,0.0665,107.761
60.26,2.0068,2.2934,0.0684,107.786
60.28,2.0075,2.2939,0.0687,107.8105
60.3,2.0081,2.2945,0.0683,107.8374
60.32,2.0088,2.2951,0.0679,107.8657
60.34,2.0094,2.2957,0.0676,107.8957
60.36,2.0101,2.2965,0.0671,107.9325
60.38,2.0108,2.2971,0.067,107.9602
60.4,2.0115,2.2979,0.0666,107.9973
60.42,2.0122,2.2985,0.0663,108.026
60.44,2.0129,2.2991,0.066,108.0555
60.46,2.0136,2.2997,0.0658,108.0812
60.48,2.0142,2.3003,0.0654,108.1111
60.5,2.0149,2.3009,0.065,108.1387
60.52,2.0155,2.3014,0.0662,108.1636
60.54,2.0161,2.3019,0.0683,108.1853
60.56,2.0167,2.3025,0.069,108.2146
60.58,2.0174,2.3031,0.0688,108.2431
60.6,2.0181,2.3038,0.0684,108.2736
60.62,2.0187,2.3045,0.0679,108.3057
60.64,2.0194,2.3051,0.0677,108.3335
60.66,2.0201,2.3056,0.0674,108.3611
60.68,2.0208,2.3063,0.0672,108.3935
60.7,2.0214,2.3069,0.0668,108.4195
60.72,2.0221,2.3074,0.0664,108.4444
60.74,2.0227,2.308,0.066,108.4728
60.76,2.0234,2.3086,0.0657,108.4994
60.78,2.024,2.3092,0.0654,108.5282
60.8,2.0247,2.3099,0.0663,108.5622
60.82,2.0254,2.3105,0.0685,108.5901
60.84,2.026,2.3111,0.0694,108.6182
60.86,2.0267,2.3118,0.0695,108.6488
60.88,2.0274,2.3125,0.0691,108.6827
60.9,2.0281,2.3132,0.0685,108.7182
60.92,2.0288,2.3139,0.0682,108.7475
60.94,2.0295,2.3146,0.0677,108.7806
60.96,2.0301,2.3151,0.0674,108.8037
60.98,2.0308,2.3157,0.0669,108.8341
61,2.0315,2.3162,0.0669,108.8596
61.02,2.0321,2.317,0.0665,108.8927
61.04,2.0328,2.3174,0.0663,108.9143
61.06,2.0334,2.3181,0.0658,108.9466
61.08,2.0341,2.3187,0.0669,108.9758
61.1,2.0348,2.3193,0.0691,109.0039
61.12,2.0355,2.32,0.0698,109.0366
61.14,2.0361,2.3206,0.0698,109.0642
61.16,2.0368,2.3213,0.0692,109.0992
61.18,2.0375,2.3219,0.069,109.1259
61.2,2.0381,2.3225,0.0682,109.155
61.22,2.0388,2.323,0.068,109.1788
61.24,2.0394,2.3236,0.0676,109.2054
61.26,2.04,2.3241,0.0675,109.2265
61.28,2.0407,2.3247,0.0672,109.2583
61.3,2.0414,2.3253,0.067,109.2843
61.32,2.0421,2.3261,0.0666,109.3226
61.34,2.0427,2.3268,0.0663,109.3539
61.36,2.0434,2.3274,0.068,109.3836
61.38,2.0442,2.3281,0.0701,109.4187
61.4,2.0449,2.3288,0.0706,109.4493
61.42,2.0455,2.3294,0.0702,109.4792
61.44,2.0462,2.3299,0.07,109.5036
61.46,2.0468,2.3306,0.0696,109.5328
61.48,2.0475,2.3311,0.0691,109.5593
61.5,2.0481,2.3317,0.0686,109.5871
61.52,2.0488,2.3323,0.0683,109.6126
61.54,2.0494,2.3328,0.0681,109.6389
61.56,2.0501,2.3335,0.0679,109.6697
61.58,2.0508,2.3341,0.0676,109.6996
61.6,2.0515,2.3349,0.0671,109.7368
61.62,2.0522,2.3355,0.0671,109.7653
61.64,2.0528,2.3361,0.0687,109.795
61.66,2.0535,2.3366,0.0708,109.8174
61.68,2.0541,2.3373,0.0712,109.8493
61.7,2.0548,2.3378,0.071,109.8723
61.72,2.0554,2.3384,0.0705,109.8986
61.74,2.056,2.3389,0.07,109.9232
61.76,2.0567,2.3395,0.0695,109.9522
61.78,2.0573,2.3401,0.0693,109.9797
61.8,2.058,2.3407,0.0692,110.0078
61.82,2.0587,2.3414,0.0687,110.0396
61.84,2.0594,2.342,0.0684,110.0698
61.86,2.0601,2.3427,0.068,110.1032
61.88,2.0608,2.3434,0.0678,110.1375
61.9,2.0615,2.3441,0.0677,110.1693
61.92,2.0621,2.3446,0.0688,110.1939
61.94,2.0628,2.3453,0.071,110.2234
61.96,2.0634,2.3458,0.072,110.2491
61.98,2.0641,2.3466,0.0718,110.2839
62,2.0648,2.3471,0.0715,110.3108
62.02,2.0655,2.3478,0.0707,110.3425
62.04,2.0661,2.3482,0.0707,110.3634
62.06,2.0668,2.3489,0.0703,110.3951
62.08,2.0675,2.3495,0.0702,110.4222
62.1,2.0682,2.3502,0.0698,110.4566
62.12,2.0689,2.351,0.0696,110.4916
62.14,2.0696,2.3516,0.0691,110.5228
62.16,2.0702,2.3521,0.0688,110.547
62.18,2.0709,2.3527,0.0686,110.5725
62.2,2.0715,2.3533,0.0685,110.6003
62.22,2.0722,2.3538,0.0701,110.6245
62.24,2.0728,2.3544,0.072,110.6531
62.26,2.0735,2.355,0.0728,110.6832
62.28,2.0741,2.3556,0.0726,110.7101
62.3,2.0748,2.3563,0.0721,110.7401
62.32,2.0755,2.3569,0.0718,110.772
62.34,2.0761,2.3575,0.0716,110.7997
62.36,2.0768,2.3582,0.0715,110.8299
62.38,2.0775,2.3588,0.071,110.8584
62.4,2.0781,2.3594,0.0706,110.8886
62.42,2.0788,2.36,0.0705,110.9144
62.44,2.0794,2.3605,0.0704,110.9387
62.46,2.08,2.3609,0.07,110.9601
62.48,2.0806,2.3616,0.0697,110.9889
62.5,2.0813,2.3622,0.0695,111.0201
62.52,2.082,2.3628,0.0711,111.0458
62.54,2.0827,2.3635,0.0731,111.0783
62.56,2.0834,2.3641,0.0737,111.1099
62.58,2.0841,2.3649,0.0735,111.145
62.6,2.0848,2.3655,0.0734,111.1763
62.62,2.0855,2.3661,0.073,111.2047
62.64,2.0861,2.3667,0.0727,111.2318
62.66,2.0868,2.3673,0.0722,111.2596
62.68,2.0874,2.3679,0.0717,111.2886
62.7,2.0881,2.3685,0.0714,111.3159
62.72,2.0887,2.3692,0.0711,111.346
62.74,2.0894,2.3696,0.071,111.3686
62.76,2.0901,2.3704,0.0707,111.403
62.78,2.0908,2.371,0.0709,111.4317
62.8,2.0915,2.3717,0.0703,111.4659
62.82,2.0922,2.3723,0.0725,111.4917
62.84,2.0928,2.3729,0.0741,111.5244
62.86,2.0935,2.3735,0.075,111.5508
62.88,2.0942,2.3743,0.0743,111.587
62.9,2.0948,2.3747,0.0743,111.6091
62.92,2.0955,2.3754,0.0735,111.6411
62.94,2.0961,2.3759,0.0736,111.6637
62.96,2.0967,2.3765,0.0731,111.692
62.98,2.0974,2.3771,0.0728,111.7179
63,2.098,2.3777,0.0725,111.7458
63.02,2.0987,2.3783,0.0721,111.7775
63.04,2.0994,2.3789,0.0722,111.8046
63.06,2.1001,2.3796,0.0716,111.8348
63.08,2.1008,2.3802,0.0716,111.8633
63.1,2.1015,2.381,0.0718,111.9012
63.12,2.1021,2.3815,0.0745,111.9272
63.14,2.1028,2.3821,0.0757,111.9545
63.16,2.1034,2.3826,0.0756,111.9781
63.18,2.1041,2.3833,0.0752,112.0095
63.2,2.1048,2.384,0.0748,112.0438
63.22,2.1055,2.3846,0.0747,112.0714
63.24,2.1061,2.3851,0.0743,112.0979
63.26,2.1068,2.3857,0.0739,112.1244
63.28,2.1075,2.3864,0.0738,112.1576
63.3,2.1082,2.3871,0.0735,112.1906
63.32,2.1089,2.3878,0.0734,112.2242
63.34,2.1095,2.3885,0.073,112.2552
63.36,2.1102,2.3891,0.073,112.2812
63.38,2.1108,2.3896,0.0728,112.3059
63.4,2.1115,2.3902,0.0741,112.3335
63.42,2.1121,2.3907,0.0763,112.3594
63.44,2.1128,2.3913,0.0771,112.3864
63.46,2.1134,2.3919,0.0769,112.4161
63.48,2.1141,2.3926,0.0764,112.4459
63.5,2.1148,2.3932,0.0762,112.4786
63.52,2.1154,2.3938,0.0761,112.5062
63.54,2.1161,2.3944,0.0758,112.5344
63.56,2.1168,2.395,0.0756,112.5619
63.58,2.1174,2.3957,0.0751,112.5947
63.6,2.1181,2.3962,0.0751,112.6176
63.62,2.1187,2.3967,0.0748,112.6406
63.64,2.1194,2.3973,0.0747,112.6705
63.66,2.12,2.398,0.0745,112.6997
63.68,2.1207,2.3986,0.0741,112.73
63.7,2.1213,2.3992,0.0759,112.7604
63.72,2.122,2.3999,0.0777,112.7912
63.74,2.1227,2.4006,0.0786,112.8218
63.76,2.1234,2.4013,0.0781,112.859
63.78,2.1241,2.402,0.0779,112.8897
63.8,2.1248,2.4028,0.0777,112.9271
63.82,2.1255,2.4034,0.0776,112.9542
63.84,2.1262,2.4039,0.0772,112.9801
63.86,2.1268,2.4045,0.0769,113.0075
63.88,2.1275,2.4051,0.0767,113.0347
63.9,2.1281,2.4056,0.0764,113.0589
63.92,2.1288,2.4062,0.0763,113.0871
63.94,2.1294,2.4068,0.0761,113.1176
63.96,2.1301,2.4074,0.0761,113.1455
63.98,2.1308,2.4081,0.0759,113.1773
64,2.1315,2.4089,0.0775,113.2118
64.02,2.1322,2.4096,0.0795,113.2472
64.04,2.1329,2.4103,0.0803,113.2788
64.06,2.1336,2.4109,0.08,113.3078
64.08,2.1342,2.4115,0.0797,113.3365
64.1,2.1349,2.412,0.0794,113.3612
64.12,2.1355,2.4125,0.0791,113.3818
64.14,2.1361,2.413,0.079,113.4087
64.16,2.1367,2.4136,0.0786,113.4346
64.18,2.1374,2.4141,0.0785,113.4591
64.2,2.1381,2.4148,0.0781,113.4923
64.22,2.1387,2.4154,0.0779,113.5175
64.24,2.1394,2.4161,0.0775,113.5505
64.26,2.1401,2.4167,0.0774,113.5803
64.28,2.1408,2.4174,0.0772,113.6128
64.3,2.1414,2.418,0.0791,113.6412
64.32,2.1421,2.4186,0.0811,113.6719
64.34,2.1427,2.4191,0.0818,113.6943
64.36,2.1434,2.4197,0.0816,113.7206
64.38,2.144,2.4203,0.0812,113.7507
64.4,2.1447,2.421,0.0808,113.7819
64.42,2.1454,2.4215,0.0805,113.8081
64.44,2.146,2.4222,0.0803,113.8385
64.46,2.1467,2.4228,0.0801,113.8664
64.48,2.1474,2.4235,0.0799,113.8997
64.5,2.1481,2.4242,0.0797,113.935
64.52,2.1488,2.425,0.0796,113.9707
64.54,2.1495,2.4256,0.0793,114.0002
64.56,2.1502,2.4261,0.0791,114.0248
64.58,2.1508,2.4268,0.0793,114.0574
64.6,2.1515,2.4274,0.0819,114.0825
64.62,2.1521,2.428,0.0833,114.1105
64.64,2.1528,2.4286,0.0835,114.1406
64.66,2.1534,2.4291,0.0831,114.1658
64.68,2.1541,2.4298,0.0826,114.1981
64.7,2.1548,2.4305,0.0824,114.2293
64.72,2.1555,2.4311,0.0822,114.259
64.74,2.1562,2.4317,0.0821,114.287
64.76,2.1568,2.4323,0.0819,114.3155
64.78,2.1575,2.4329,0.0815,114.3439
64.8,2.1582,2.4336,0.0813,114.3757
64.82,2.1588,2.4342,0.0812,114.4047
64.84,2.1594,2.4348,0.081,114.431
64.86,2.16,2.4352,0.0809,114.4509
64.88,2.1607,2.4358,0.082,114.4782
64.9,2.1613,2.4364,0.0843,114.5063
64.92,2.162,2.4371,0.085,114.5395
64.94,2.1627,2.4378,0.085,114.5738
64.96,2.1634,2.4385,0.0849,114.6037
64.98,2.1641,2.4392,0.0843,114.6377
65,2.1648,2.4399,0.084,114.6692
65.02,2.1655,2.4406,0.0838,114.7017
65.04,2.1662,2.4411,0.0838,114.7273
65.06,2.1668,2.4418,0.0834,114.7581
65.08,2.1675,2.4424,0.0832,114.7886
65.1,2.1681,2.4429,0.0829,114.8121
65.12,2.1688,2.4435,0.0829,114.8415
65.14,2.1694,2.444,0.0828,114.8647
65.16,2.17,2.4446,0.0829,114.8935
65.18,2.1707,2.4453,0.0851,114.926
65.2,2.1714,2.4459,0.0868,114.9536
65.22,2.1721,2.4465,0.0871,114.9835
65.24,2.1728,2.4473,0.0866,115.0189
65.26,2.1735,2.4479,0.0863,115.0485
65.28,2.1742,2.4485,0.0858,115.0773
65.3,2.1748,2.4492,0.0857,115.1089
65.32,2.1755,2.4498,0.0855,115.1377
65.34,2.1761,2.4503,0.0853,115.1605
65.36,2.1767,2.4508,0.085,115.1837
65.38,2.1773,2.4514,0.0848,115.2121
65.4,2.178,2.452,0.0847,115.2414
65.42,2.1787,2.4526,0.0845,115.2677
65.44,2.1794,2.4533,0.0841,115.2995
65.46,2.1801,2.4539,0.0867,115.329
65.48,2.1808,2.4546,0.0883,115.362
65.5,2.1815,2.4552,0.0888,115.3909
65.52,2.1822,2.456,0.0885,115.4266
65.54,2.1828,2.4566,0.0883,115.4538
65.56,2.1835,2.4571,0.0878,115.4813
65.58,2.1841,2.4578,0.0875,115.5109
65.6,2.1848,2.4584,0.0872,115.5406
65.62,2.1855,2.459,0.0872,115.5683
65.64,2.1861,2.4596,0.0871,115.5954
65.66,2.1868,2.4601,0.0868,115.6227
65.68,2.1874,2.4608,0.0865,115.6551
65.7,2.1882,2.4615,0.0863,115.6862
65.72,2.1889,2.4623,0.0862,115.7226
65.74,2.1896,2.463,0.087,115.7552
65.76,2.1902,2.4636,0.0892,115.7849
65.78,2.1909,2.4642,0.0906,115.811
65.8,2.1915,2.4648,0.0906,115.8415
65.82,2.1922,2.4653,0.09,115.8667
65.84,2.1928,2.4659,0.0897,115.893
65.86,2.1935,2.4665,0.0895,115.9199
65.88,2.1942,2.4671,0.0891,115.9472
65.9,2.1948,2.4677,0.0889,115.9779
65.92,2.1955,2.4684,0.0887,116.0086
65.94,2.1962,2.469,0.0886,116.0391
65.96,2.1968,2.4696,0.0885,116.0679
65.98,2.1975,2.4703,0.0881,116.0978
66,2.1982,2.4709,0.0878,116.129
66.02,2.1988,2.4714,0.0882,116.1531
66.04,2.1994,2.4719,0.0907,116.1753
66.06,2.2,2.4725,0.092,116.2043
66.08,2.2007,2.4731,0.0921,116.2297
66.1,2.2013,2.4736,0.0917,116.2527
66.12,2.202,2.4742,0.0913,116.2843
66.14,2.2027,2.4749,0.0909,116.3178
66.16,2.2033,2.4755,0.0907,116.3437
66.18,2.204,2.4762,0.0904,116.3754
66.2,2.2047,2.4769,0.0905,116.4114
66.22,2.2055,2.4777,0.09,116.4482
66.24,2.2061,2.4782,0.0899,116.472
66.26,2.2068,2.4788,0.0897,116.5007
66.28,2.2074,2.4794,0.0896,116.5292
66.3,2.2081,2.48,0.0894,116.5578
66.32,2.2087,2.4806,0.0914,116.5862
66.34,2.2094,2.4812,0.0934,116.6142
66.36,2.21,2.4818,0.0938,116.6417
66.38,2.2107,2.4825,0.0936,116.6743
66.4,2.2114,2.4832,0.0932,116.7056
66.42,2.2122,2.4839,0.093,116.7385
66.44,2.2128,2.4846,0.0926,116.7741
66.46,2.2135,2.4853,0.0925,116.803
66.48,2.2142,2.4858,0.0923,116.8303
66.5,2.2149,2.4864,0.0921,116.8581
66.52,2.2155,2.487,0.0919,116.8865
66.54,2.2161,2.4876,0.0915,116.9109
66.56,2.2167,2.488,0.0913,116.9338
66.58,2.2174,2.4886,0.0913,116.9577
66.6,2.218,2.4892,0.0928,116.9882
66.62,2.2187,2.4899,0.095,117.0201
66.64,2.2194,2.4905,0.0957,117.0489
66.66,2.2201,2.4911,0.0956,117.0787
66.68,2.2208,2.4917,0.0952,117.1068
66.7,2.2215,2.4924,0.095,117.1376
66.72,2.2221,2.4931,0.0946,117.1696
66.74,2.2228,2.4937,0.0943,117.1986
66.76,2.2234,2.4943,0.0941,117.2297
66.78,2.2241,2.495,0.0939,117.2588
66.8,2.2248,2.4956,0.0936,117.2881
66.82,2.2255,2.4962,0.0934,117.3186
66.84,2.2261,2.4968,0.0933,117.3472
66.86,2.2268,2.4973,0.0932,117.3676
66.88,2.2275,2.498,0.0941,117.3999
66.9,2.2282,2.4987,0.0966,117.4323
66.92,2.2289,2.4994,0.0975,117.4656
66.94,2.2296,2.5,0.0975,117.4957
66.96,2.2302,2.5006,0.0972,117.5231
66.98,2.2309,2.5012,0.0967,117.55
67,2.2315,2.5017,0.0963,117.5753
67.02,2.2321,2.5023,0.0959,117.6034
67.04,2.2328,2.5028,0.096,117.6295
67.06,2.2334,2.5035,0.0958,117.6579
67.08,2.2341,2.504,0.0958,117.6822
67.1,2.2347,2.5047,0.0954,117.716
67.12,2.2354,2.5053,0.0953,117.7456
67.14,2.2361,2.506,0.0951,117.7756
67.16,2.2368,2.5065,0.0952,117.8024
67.18,2.2375,2.5072,0.0975,117.8331
67.2,2.2381,2.5078,0.0993,117.8639
67.22,2.2388,2.5084,0.0995,117.8923
67.24,2.2394,2.5089,0.0993,117.9152
67.26,2.2401,2.5095,0.0989,117.9412
67.28,2.2407,2.5101,0.0986,117.9693
67.3,2.2413,2.5106,0.0983,117.9953
67.32,2.242,2.5113,0.0981,118.0266
67.34,2.2427,2.512,0.098,118.058
67.36,2.2434,2.5127,0.0977,118.0906
67.38,2.2441,2.5133,0.0977,118.1194
67.4,2.2448,2.5141,0.0973,118.1581
67.42,2.2455,2.5147,0.0973,118.1885
67.44,2.2462,2.5154,0.097,118.2172
67.46,2.2469,2.516,0.0971,118.2463
67.48,2.2475,2.5166,0.0997,118.2777
67.5,2.2482,2.5171,0.1013,118.3009
67.52,2.2488,2.5177,0.1016,118.3276
67.54,2.2495,2.5183,0.1011,118.3564
67.56,2.2501,2.5189,0.1009,118.3824
67.58,2.2508,2.5195,0.1006,118.4103
67.6,2.2515,2.5201,0.1004,118.4408
67.62,2.2522,2.5209,0.1002,118.4769
67.64,2.2529,2.5215,0.1001,118.5048
67.66,2.2536,2.5221,0.0998,118.5343
67.68,2.2542,2.5228,0.0998,118.5671
67.7,2.2549,2.5234,0.0994,118.5975
67.72,2.2556,2.524,0.0993,118.6234
67.74,2.2562,2.5246,0.0992,118.6517
67.76,2.2568,2.5251,0.0999,118.6761
67.78,2.2574,2.5256,0.1023,118.6973
67.8,2.258,2.5262,0.1033,118.7255
67.82,2.2587,2.5267,0.1034,118.751
67.84,2.2594,2.5274,0.103,118.7815
67.86,2.26,2.528,0.1028,118.8134
67.88,2.2607,2.5287,0.1024,118.8456
67.9,2.2614,2.5294,0.1023,118.8767
67.92,2.2621,2.5301,0.1021,118.9111
67.94,2.2627,2.5306,0.102,118.9359
67.96,2.2634,2.5312,0.1018,118.9604
67.98,2.264,2.5317,0.1016,118.9858
68,2.2647,2.5323,0.1013,119.0155
68.02,2.2654,2.533,0.1013,119.0483
68.04,2.2661,2.5337,0.1012,119.0788
68.06,2.2667,2.5342,0.1027,119.1052
68.08,2.2674,2.5349,0.1048,119.1373
68.1,2.2681,2.5356,0.1054,119.1672
68.12,2.2688,2.5363,0.1052,119.2009
68.14,2.2695,2.537,0.1048,119.2328
68.16,2.2702,2.5376,0.1045,119.2616
68.18,2.2708,2.5382,0.1045,119.2914
68.2,2.2715,2.5388,0.1043,119.3198
68.22,2.2722,2.5393,0.1042,119.3433
68.24,2.2728,2.54,0.1038,119.3755
68.26,2.2734,2.5405,0.1036,119.3974
68.28,2.2741,2.5411,0.1033,119.4263
68.3,2.2748,2.5417,0.1033,119.4568
68.32,2.2755,2.5424,0.1032,119.4886
68.34,2.2761,2.543,0.1037,119.5154
68.36,2.2768,2.5436,0.1062,119.5445
68.38,2.2775,2.5442,0.1076,119.5739
68.4,2.2781,2.5448,0.1077,119.6031
68.42,2.2788,2.5454,0.1071,119.6312
68.44,2.2794,2.546,0.1067,119.6572
68.46,2.2801,2.5466,0.1065,119.6866
68.48,2.2807,2.5472,0.1063,119.7141
68.5,2.2813,2.5478,0.1061,119.7434
68.52,2.282,2.5485,0.1061,119.7747
68.54,2.2827,2.5491,0.1057,119.8047
68.56,2.2834,2.5498,0.1055,119.8349
68.58,2.2841,2.5505,0.1053,119.8672
68.6,2.2848,2.5511,0.1052,119.8963
68.62,2.2855,2.5518,0.105,119.9285
68.64,2.2862,2.5524,0.1064,119.9585
68.66,2.2869,2.553,0.1086,119.9845
68.68,2.2875,2.5536,0.1096,120.0145
68.7,2.2882,2.5542,0.1094,120.0443
68.72,2.2888,2.5547,0.1091,120.067
68.74,2.2894,2.5553,0.1088,120.0926
68.76,2.2901,2.5558,0.1086,120.1201
68.78,2.2908,2.5565,0.1082,120.152
68.8,2.2914,2.5572,0.1081,120.186
68.82,2.2922,2.5579,0.1079,120.2182
68.84,2.2928,2.5586,0.1078,120.248
68.86,2.2935,2.5592,0.1076,120.2762
68.88,2.2942,2.5598,0.1076,120.3039
68.9,2.2948,2.5604,0.1074,120.3355
68.92,2.2955,2.5611,0.1074,120.3685
68.94,2.2961,2.5616,0.1096,120.391
68.96,2.2967,2.5621,0.1112,120.4132
68.98,2.2974,2.5627,0.1118,120.4428
69,2.298,2.5632,0.1115,120.4666
69.02,2.2987,2.5638,0.1111,120.4959
69.04,2.2993,2.5645,0.1107,120.528
69.06,2.3,2.5651,0.1105,120.5568
69.08,2.3007,2.5658,0.1102,120.59
69.1,2.3014,2.5666,0.11,120.6255
69.12,2.3021,2.5673,0.1098,120.657
69.14,2.3028,2.5679,0.1097,120.6856
69.16,2.3034,2.5684,0.1096,120.7092
69.18,2.3041,2.5689,0.1095,120.7362
69.2,2.3048,2.5696,0.1092,120.7652
69.22,2.3054,2.5702,0.1108,120.7965
69.24,2.3061,2.5709,0.113,120.8295
69.26,2.3068,2.5716,0.1138,120.8587
69.28,2.3074,2.5722,0.1136,120.8886
69.3,2.3081,2.5729,0.1132,120.9198
69.32,2.3088,2.5735,0.1131,120.9508
69.34,2.3095,2.5742,0.1129,120.9828
69.36,2.3102,2.5747,0.1126,121.0071
69.38,2.3109,2.5754,0.1124,121.0372
69.4,2.3115,2.576,0.1121,121.0676
69.42,2.3122,2.5766,0.1119,121.0942
69.44,2.3128,2.5772,0.1117,121.1241
69.46,2.3135,2.5778,0.1115,121.1503
69.48,2.3141,2.5783,0.1115,121.1779
69.5,2.3148,2.579,0.1119,121.2075
69.52,2.3155,2.5796,0.1142,121.2382
69.54,2.3162,2.5803,0.1157,121.2686
69.56,2.3169,2.581,0.1157,121.3005
69.58,2.3175,2.5816,0.1153,121.33
69.6,2.3182,2.5821,0.115,121.3547
69.62,2.3188,2.5826,0.1149,121.38
69.64,2.3195,2.5833,0.1147,121.4083
69.66,2.3201,2.5838,0.1146,121.4338
69.68,2.3207,2.5843,0.1141,121.4589
69.7,2.3213,2.5849,0.1138,121.485
69.72,2.322,2.5855,0.1138,121.5125
69.74,2.3227,2.5861,0.1137,121.5406
69.76,2.3233,2.5867,0.1135,121.5713
69.78,2.324,2.5874,0.1134,121.6023
69.8,2.3247,2.5881,0.1156,121.6342
69.82,2.3254,2.5888,0.1173,121.6709
69.84,2.3261,2.5896,0.1177,121.7056
69.86,2.3268,2.5902,0.1176,121.7361
69.88,2.3274,2.5907,0.1173,121.7603
69.9,2.3281,2.5913,0.1169,121.7858
69.92,2.3287,2.5918,0.1166,121.8114
69.94,2.3294,2.5924,0.1163,121.8389
69.96,2.33,2.593,0.1162,121.8662
69.98,2.3307,2.5936,0.116,121.8951
70,2.3314,2.5943,0.1159,121.9255
